dataset,model,sigma,seed,window,stride,latent,n_params,epochs,elapsed_sec,test_r2,test_rmse,test_mae,delta_test_pct,mse_test_noisy,mse_test_recovered
beer,MLP-AE,0.1,2023,6,2,4,19238,300,26.91,0.6043988634592545,0.11369440862996893,0.08675782316306146,1.814012474556459,0.013165237606199818,0.012926418553718354
beer,MLP-AE,0.1,2024,6,2,4,19238,300,25.77,0.6376504068358899,0.10881135807801363,0.07700059547176917,10.066859399438322,0.013165237606199818,0.011839911646781703
beer,MLP-AE,0.1,2025,6,2,4,19238,300,30.48,0.7082046120268042,0.09764489739552931,0.07061772787366391,27.578018167378783,0.013165237606199818,0.009534525987383448
beer,MLP-AE,0.1,2026,6,2,4,19238,300,26.6,0.6006145984846303,0.11423690673420903,0.08337782445502095,0.8747790920629606,0.013165237606199818,0.013050070860200371
beer,MLP-AE,0.1,2027,6,2,4,19238,300,26.03,0.7080098644121159,0.09767747662707861,0.07537924734228704,27.52968289960479,0.013165237606199818,0.009540889440233487
beer,MLP-AE,0.2,2023,6,2,4,19238,300,36.01,0.26438790643180343,0.15503679148695676,0.11478181420865438,54.35629907801511,0.05266095042479927,0.024036406714570104
beer,MLP-AE,0.2,2024,6,2,4,19238,300,42.61,0.28434910528552804,0.15291882455024838,0.11458739445857566,55.59486353133213,0.05266095042479927,0.02338416690182965
beer,MLP-AE,0.2,2025,6,2,4,19238,300,34.55,0.33005117556250074,0.14795551447295407,0.11024721559455457,58.4306130322942,0.05266095042479927,0.021890834262956523
beer,MLP-AE,0.2,2026,6,2,4,19238,300,43.16,0.28958203445734165,0.15235871795937672,0.11531926071224505,55.91955946299579,0.05266095042479927,0.023213178938224905
beer,MLP-AE,0.2,2027,6,2,4,19238,300,33.5,0.3975816722203943,0.1403005681998692,0.10470398672414578,62.62078584146409,0.05266095042479927,0.019684249437206147
beer,MLP-AE,0.3,2023,6,2,4,19238,300,46.36,0.08013284866079717,0.17336957994783003,0.12939900533040563,74.63268026976631,0.11848713845579832,0.03005701125128703
beer,MLP-AE,0.3,2024,6,2,4,19238,300,32.5,0.11852361447332771,0.16971322365746352,0.12743182896966948,75.69138839912735,0.11848713845579832,0.028802578284208236
beer,MLP-AE,0.3,2025,6,2,4,19238,300,30.37,0.13139356224329213,0.16846972373344235,0.12594142357922647,76.04630495367198,0.11848713845579832,0.02838204781482239
beer,MLP-AE,0.3,2026,6,2,4,19238,300,41.14,0.0688159528718355,0.17443278118736563,0.13349976683055573,74.32059247163767,0.11848713845579832,0.030426795152759374
beer,MLP-AE,0.3,2027,6,2,4,19238,300,30.4,0.15773779081141526,0.16589526835640786,0.12465911479113788,76.77280384882332,0.11848713845579832,0.02752124006304458
beer,TinyMLP,0.1,2023,6,2,4,142,300,4.22,0.48737954587200083,0.12942205973208812,0.10274111163753143,-27.229527079770932,0.013165237606199818,0.016750069545296183
beer,TinyMLP,0.1,2024,6,2,4,142,300,3.67,0.44003707832548566,0.13526641413454213,0.1014343170147184,-38.97966250302216,0.013165237606199818,0.01829700279281746
beer,TinyMLP,0.1,2025,6,2,4,142,300,3.56,0.43420670941246287,0.13596879174515622,0.10151430129806002,-40.426727428994205,0.013165237606199818,0.01848751232863766
beer,TinyMLP,0.1,2026,6,2,4,142,300,3.68,0.5201711769797002,0.12521417830173825,0.10058752366498165,-19.090827805463118,0.013165237606199818,0.0156785904477795
beer,TinyMLP,0.1,2027,6,2,4,142,300,3.63,0.5611718664042494,0.11974505095294627,0.09514969124376443,-8.914686210989341,0.013165237606199818,0.014338877227723697
beer,TinyMLP,0.2,2023,6,2,4,142,300,4.52,0.2884169211307812,0.15248360391242097,0.11689123220571353,55.84726581165058,0.05266095042479927,0.023251249462120087
beer,TinyMLP,0.2,2024,6,2,4,142,300,4.1,0.2354155600465394,0.15806039738638253,0.11857028582975948,52.558605531403316,0.05266095042479927,0.024983089221941163
beer,TinyMLP,0.2,2025,6,2,4,142,300,3.71,0.2822568760687194,0.15314219305042762,0.11473058147659326,55.46504363648914,0.05266095042479927,0.023452531292294444
beer,TinyMLP,0.2,2026,6,2,4,142,300,3.97,0.2870071290314099,0.1526345798257008,0.11804273743324588,55.75979018487865,0.05266095042479927,0.02329731495856823
beer,TinyMLP,0.2,2027,6,2,4,142,300,3.84,0.2536444674550067,0.15616482540960702,0.11658518957806716,53.68968372487173,0.05266095042479927,0.024387452695213044
beer,TinyMLP,0.3,2023,6,2,4,142,300,4.04,0.10549602478152909,0.1709627437886039,0.13067836517995282,75.33212452874669,0.11848713845579832,0.029228259763727824
beer,TinyMLP,0.3,2024,6,2,4,142,300,3.73,0.04373785335361757,0.1767660364810438,0.13328387317148369,73.62900981453431,0.11848713845579832,0.031246231653217712
beer,TinyMLP,0.3,2025,6,2,4,142,300,3.64,0.09065739731263767,0.1723749332002563,0.12821259418935352,74.92291738746202,0.11848713845579832,0.029713117595792815
beer,TinyMLP,0.3,2026,6,2,4,142,300,3.66,0.09704920480489576,0.1717680495304764,0.13155927165932454,75.09918525839767,0.11848713845579832,0.02950426283950419
beer,TinyMLP,0.3,2027,6,2,4,142,300,3.86,0.07174841543359112,0.17415790483393853,0.13029251138914685,74.40146144852491,0.11848713845579832,0.030330975816147188
energy,LSTM-AE,0.1,2023,6,2,4,2597,300,135.67,0.6993602809012722,0.09920705080638495,0.0781510987800654,25.24222331493814,0.01316523760619982,0.009842038929700645
energy,LSTM-AE,0.1,2024,6,2,4,2597,300,158.36,0.5616315148818383,0.11979509136239656,0.09935961091386888,-9.005734220602136,0.01316523760619982,0.014350863914524939
energy,LSTM-AE,0.1,2025,6,2,4,2597,300,134.63,0.6032070968262427,0.1139728238658456,0.091761076000466,1.3325473606502825,0.01316523760619982,0.012989804579955066
energy,LSTM-AE,0.1,2026,6,2,4,2597,300,159.82,0.6469799933484877,0.10750261291721736,0.08629410950182113,12.217218331200542,0.01316523760619982,0.011556811784029068
energy,LSTM-AE,0.1,2027,6,2,4,2597,300,131.32,0.5982763179275745,0.11467878369805219,0.09309291840733988,0.10644833123694131,0.01316523760619982,0.013151223430464641
energy,LSTM-AE,0.2,2023,6,2,4,2597,300,109.08,-0.03626913296635803,0.184185586716794,0.1545888381886595,35.57972258276242,0.05266095042479927,0.03392433035420964
energy,LSTM-AE,0.2,2024,6,2,4,2597,300,111.12,0.07725846805580494,0.17380385099810927,0.14286393863730434,42.63723237409057,0.05266095042479927,0.03020777862177297
energy,LSTM-AE,0.2,2025,6,2,4,2597,300,138.6,0.07223255322937272,0.17427653868500195,0.1413248747566246,42.324793436082864,0.05266095042479927,0.03037231193602498
energy,LSTM-AE,0.2,2026,6,2,4,2597,300,158.47,0.1292729135863976,0.1688341859144638,0.14169492248639554,45.87074083650402,0.05266095042479927,0.028504982333399733
energy,LSTM-AE,0.2,2027,6,2,4,2597,300,151.8,0.14844573719335719,0.1669650317691017,0.13963103531053234,47.06263064228887,0.05266095042479927,0.02787732183365714
energy,LSTM-AE,0.3,2023,6,2,4,2597,300,96.71,-0.6303558168245014,0.23102584076211932,0.19822553994382128,54.95465601124724,0.11848713845579832,0.05337293909984411
energy,LSTM-AE,0.3,2024,6,2,4,2597,300,102.26,-0.6392493412169094,0.23165510204338494,0.1990915315399329,54.70893549956859,0.11848713845579832,0.05366408630273109
